iter	RMSE
0	6.292220233
1	6.258658601
2	6.22363356
3	6.18455632
4	6.150053097
5	6.115185821
6	6.088849089
7	6.049776412
8	6.02613906
9	5.996887205
10	5.967330358
11	5.939493507
12	5.906948467
13	5.878863909
14	5.849290872
15	5.821515749
16	5.793771328
17	5.754007943
18	5.725545197
19	5.700782557
20	5.672793964
21	5.653887673
22	5.622119187
23	5.598993751
24	5.568309339
25	5.537930561
26	5.511519284
27	5.485563642
28	5.457676482
29	5.43148778
30	5.411918035
31	5.384901145
32	5.360968084
33	5.323287082
34	5.301849904
35	5.272668741
36	5.250288082
37	5.248651992
38	5.222969534
39	5.199765906
40	5.178137299
41	5.150949969
42	5.12912463
43	5.10238856
44	5.070183848
45	5.050764169
46	5.034776583
47	5.018232331
48	4.998512655
49	4.975796898
50	4.940913557
51	4.917692022
52	4.892856705
53	4.858790246
54	4.842528567
55	4.825734767
56	4.803834948
57	4.785257191
58	4.761199386
59	4.747268607
60	4.734693334
61	4.706344471
62	4.678977627
63	4.666810719
64	4.641014871
65	4.620938478
66	4.59556494
67	4.574100003
68	4.553506841
69	4.539077862
70	4.522317884
71	4.500166118
72	4.47714647
73	4.460633101
74	4.442439617
75	4.42604961
76	4.411778934
77	4.399005547
78	4.377524528
79	4.358052484
80	4.335758991
81	4.312116437
82	4.297889988
83	4.276817542
84	4.258957318
85	4.237740034
86	4.223875195
87	4.201871416
88	4.181715099
89	4.174879902
90	4.161973017
91	4.136939779
92	4.124953869
93	4.103542686
94	4.093030475
95	4.087361723
96	4.076164316
97	4.059307126
98	4.035908418
99	4.013125685
100	3.996028943
101	3.984066183
102	3.970360083
103	3.949887522
104	3.942821715
105	3.926686997
106	3.907914696
107	3.897054724
108	3.876219419
109	3.86166601
110	3.849849831
111	3.833834791
112	3.819140652
113	3.801621659
114	3.788145889
115	3.767825365
116	3.748095181
117	3.733680508
118	3.71441216
119	3.696208943
120	3.675354144
121	3.663226677
122	3.648915106
123	3.631717202
124	3.618858553
125	3.606360288
126	3.586179316
127	3.570778599
128	3.558523631
129	3.54207525
130	3.523307925
131	3.517430587
132	3.501130817
133	3.478392918
134	3.456907086
135	3.43894739
136	3.424146628
137	3.405915362
138	3.391765786
139	3.380815177
140	3.36162462
141	3.348312015
142	3.337572862
143	3.325442136
144	3.310670619
145	3.294803111
146	3.272995018
147	3.26274504
148	3.243727705
149	3.232523789
150	3.213289611
151	3.19685836
152	3.189435577
153	3.179281853
154	3.163702109
155	3.14900723
156	3.133889069
157	3.119156527
158	3.110301448
159	3.105693034
160	3.093953501
161	3.084682148
162	3.072777191
163	3.057675058
164	3.044795827
165	3.026414215
166	3.014426809
167	2.997855241
168	2.987945131
169	2.975233264
170	2.959631747
171	2.94388568
172	2.932056547
173	2.914199426
174	2.899479878
175	2.882795396
176	2.872811753
177	2.867407037
178	2.851351248
179	2.839816538
180	2.828611737
181	2.813595409
182	2.80027486
183	2.790400259
184	2.776901561
185	2.764152694
186	2.752941622
187	2.739126657
188	2.729898234
189	2.718569332
190	2.70627893
191	2.69384572
192	2.675909454
193	2.660058342
194	2.647725908
195	2.632163781
196	2.615480804
197	2.605086955
198	2.593887082
199	2.577099936
200	2.565384215
201	2.549694283
202	2.538946112
203	2.52594134
204	2.512565123
205	2.497756872
206	2.486576249
207	2.475452567
208	2.459804338
209	2.447109224
210	2.434304437
211	2.421423982
212	2.406036912
213	2.394212356
214	2.381621566
215	2.367000156
216	2.352744786
217	2.340371436
218	2.32758752
219	2.31491795
220	2.301573179
221	2.28734779
222	2.27442677
223	2.263453407
224	2.251649661
225	2.24068195
226	2.229252401
227	2.216456081
228	2.203615168
229	2.192636199
230	2.182384352
231	2.17015712
232	2.158230089
233	2.145243936
234	2.133015757
235	2.1190565
236	2.108216827
237	2.097408847
238	2.086233581
239	2.075569547
240	2.06493197
241	2.054413028
242	2.040241948
243	2.028710652
244	2.020520332
245	2.01047327
246	1.99752203
247	1.984275375
248	1.970554669
249	1.958637815
250	1.947071487
251	1.936223207
252	1.926946502
253	1.916349607
254	1.905076255
255	1.895899438
256	1.886286454
257	1.875038734
258	1.865586164
259	1.855909964
260	1.84503976
261	1.83578781
262	1.827563232
263	1.817732759
264	1.808587989
265	1.79806447
266	1.78770946
267	1.777672234
268	1.76783812
269	1.759060336
270	1.748829807
271	1.738736349
272	1.730136218
273	1.721305234
274	1.710177282
275	1.698653282
276	1.68725566
277	1.677471207
278	1.667136322
279	1.656038848
280	1.647311995
281	1.639161136
282	1.630666063
283	1.623004518
284	1.614662317
285	1.604397872
286	1.595349782
287	1.586384857
288	1.575974168
289	1.566312506
290	1.558640918
291	1.548800123
292	1.539234298
293	1.529151721
294	1.521175688
295	1.511264911
296	1.503499109
297	1.495819276
298	1.486759641
299	1.479208179
300	1.471584527
301	1.464162095
302	1.455284506
303	1.448290043
304	1.441043896
305	1.434181957
306	1.426901659
307	1.417782814
308	1.411031672
309	1.402049179
310	1.395110142
311	1.38824798
312	1.381622582
313	1.374874225
314	1.367724195
315	1.361100554
316	1.354550503
317	1.347737788
318	1.341300274
319	1.334934353
320	1.327702858
321	1.321434799
322	1.313112685
323	1.30831312
324	1.300106391
325	1.294022787
326	1.285943075
327	1.279966477
328	1.272011733
329	1.266140399
330	1.260228899
331	1.254449275
332	1.24873426
333	1.241022368
334	1.23552233
335	1.229930494
336	1.224208066
337	1.219818115
338	1.21232306
339	1.207999142
340	1.202592655
341	1.19730245
342	1.190967221
343	1.185737267
344	1.180548305
345	1.176400569
346	1.172292479
347	1.168223695
348	1.163048252
349	1.157633353
350	1.152272191
351	1.147265335
352	1.141944475
353	1.136666181
354	1.131733715
355	1.126817981
356	1.121957008
357	1.116776988
358	1.110990867
359	1.106201137
360	1.101446477
361	1.095187301
362	1.090495362
363	1.085837848
364	1.081056585
365	1.076431327
366	1.071859338
367	1.067321028
368	1.062816198
369	1.058158223
370	1.053703663
371	1.049278629
372	1.044428187
373	1.040055588
374	1.03569428
375	1.031386011
376	1.027109773
377	1.022865379
378	1.018652638
379	1.014471363
380	1.010321368
381	1.005635359
382	1.001531449
383	0.9963015691
384	0.9922427757
385	0.9881928036
386	0.9841728373
387	0.97984672
388	0.9729029637
389	0.9689836575
390	0.9650939157
391	0.9606246512
392	0.9564152818
393	0.9525882813
394	0.9478343567
395	0.9431149331
396	0.9393543307
397	0.9327385344
398	0.9275000551
399	0.9238173413
400	0.9192330611
401	0.9147449586
402	0.9107525902
403	0.906321885
404	0.9023753904
405	0.8974389653
406	0.8925661746
407	0.8875541611
408	0.8825845044
409	0.8776567427
410	0.8733216542
411	0.8698726357
412	0.8660969234
413	0.861771295
414	0.8575153433
415	0.8532902301
416	0.8490957475
417	0.8446265412
418	0.8399280866
419	0.8362868338
420	0.8321100261
421	0.8280842116
422	0.8240240818
423	0.8207626473
424	0.8172097001
425	0.8132648363
426	0.8087547032
427	0.8047404624
428	0.8011278008
429	0.7975423405
430	0.7939718125
431	0.7904284959
432	0.786912204
433	0.7834341286
434	0.7799711025
435	0.7765455767
436	0.7731460003
437	0.7697614243
438	0.7664027957
439	0.763080278
440	0.7597830262
441	0.7565108735
442	0.7532536625
443	0.750031326
444	0.7468239224
445	0.7436412755
446	0.7404924873
447	0.7373586579
448	0.7342580588
449	0.7311812644
450	0.7281193585
451	0.7250898086
452	0.7220751269
453	0.7190839155
454	0.7161160176
455	0.7131712771
456	0.7102572888
457	0.7073658846
458	0.7044893503
459	0.7016427637
460	0.698818322
461	0.6960086603
462	0.6932281635
463	0.6904693816
464	0.6877252861
465	0.6850028669
466	0.6823019796
467	0.6796288954
468	0.6769768268
469	0.6743456374
